top_k_cap,candidate_recall,candidate_count,reduction_ratio,avg_candidates_per_s1,missing_true_matches,runtime_seconds
10,83.05,174802,99.9962,8.74,11742,0.037
20,85.02,313441,99.9931,15.67,10373,0.048
30,85.88,421480,99.9908,21.07,9782,0.051
50,87.19,558052,99.9878,27.9,8873,0.055
75,87.81,627692,99.9862,31.38,8441,0.059
100,87.9,645905,99.9858,32.3,8378,0.062
150,87.92,650039,99.9857,32.5,8367,0.064
200,87.92,650048,99.9857,32.5,8367,0.061
