model_id,macro_f05,precision,recall,singleton_accuracy,false_merges,missed_matches
1_champion_heuristic,0.8259,0.9945,0.675,97.05,71,7052
2_standalone_lightgbm,0.9409,0.9686,0.9107,87.32,603,1923
3_heuristic_lgb_reranker,0.9354,0.9703,0.8975,88.2,564,2197
4_calibrated_lightgbm,0.9507,0.9846,0.8998,88.5,226,2176
5_hybrid_challenger,0.8615,0.9843,0.7584,94.69,233,5246
